"DecYear","Month","Conc","Q"
1990.5,7,10,860.832129607792
1990.63698630137,8,3.6,662.61420502705
1991.48082191781,6,8.4,588.990404468489
1991.63424657534,8,4.7,172.732762848932
1992.62704918033,8,5.4,319.980363966054
1993.54931506849,7,4.6,2415.42699524818
1993.62876712329,8,3,2203.0506474831
1994.62602739726,8,4.4,302.990256144848
1995.43698630137,6,9.2,642.792412568976
1995.64794520548,8,0.66,101.374309999865
1996.44398907104,6,11,620.138935474034
1996.52049180328,7,8.5,328.475417876657
1996.59699453552,8,1.2,95.9941091898162
1996.69535519126,9,0.06,70.5089474580066
1997.42602739726,6,6.34,276.089252094604
1997.44520547945,6,4.72,238.994183351637
1997.46438356164,6,4.6,216.907043184069
1997.48082191781,6,6.26,444.574487988234
1997.5,7,7.93,538.02008100487
1997.53835616438,7,6.55,242.109036452191
1997.57945205479,7,4.81,187.174354496957
1997.61506849315,8,2.16,115.81590164789
1997.65616438356,8,0.44,103.073320781986
1997.67808219178,9,1.02,118.930754748445
1997.72739726027,9,0.31,95.7109407261295
1998.41506849315,6,10.9,472.891334356912
1998.46438356164,6,9.74,1053.3866849148
1998.5,7,7.91,1359.20862569651
1998.58767123288,8,2.2,302.990256144848
1998.66438356164,8,3.65,342.633841060996
1999.43150684932,6,9.21,673.940943574521
1999.51095890411,7,6.64,685.267682121992
1999.55205479452,7,7.56,387.94079525088
1999.58767123288,8,5.71,654.119151116447
1999.66712328767,9,3.81,175.847615949486
2000.43306010929,6,9.29,464.396280446309
2000.50956284153,7,8.13,560.673558099812
2000.60519125683,8,2.92,171.600088994185
2000.66530054645,8,1.23,100.807973072491
2001.42602739726,6,11.6,753.228113406818
2001.51095890411,7,8.15,302.990256144848
2001.58219178082,8,5.75,260.231818128145
2001.68082191781,9,0.18,71.0752843853802
2002.42876712329,6,4.97,676.772628211389
2002.50273972603,7,7.04,190.855544524885
2002.59315068493,8,1.17,158.291171200906
2003.42602739726,6,7.01,228.233781731539
2003.49726027397,7,8.94,317.148679329186
2003.59863013699,8,2.42,107.887184664661
2004.41666666667,6,9.38,1614.06024301461
2004.49863387978,7,8.23,430.416064803896
2004.59426229508,8,4.1,198.784261508115
2005.41506849315,6,9.73,351.128894971599
2005.50821917808,7,9.99,750.39642876995
2005.5904109589,8,2.7,134.221851787531
2005.66712328767,9,0.51,80.9861806144172
2006.42602739726,6,6.79,221.720907066744
2006.47260273973,6,7.87,192.554555307006
2006.50821917808,7,4.61,146.114927262375
2006.54931506849,7,3.11,127.708977122735
2006.58493150685,8,1.22,93.728761480322
2006.62328767123,8,0.66,84.1010337149717
2006.67808219178,9,0.23,69.0931051395727
2007.42328767123,6,11.3,733.406320948743
2007.50273972603,7,7.06,419.089326256425
2007.58493150685,8,1.68,146.964432653435
2007.67534246575,9,4.96,475.72301899378
2008.4193989071,6,5.59,937.28761480322
2008.44672131148,6,4.37,2562.6745963653
2008.44672131148,6,4.16,2562.6745963653
2008.45765027322,6,5.03,4502.3785726197
2008.45765027322,6,5.06,4502.3785726197
2008.47677595628,6,4.99,1427.16905698134
2008.49863387978,7,5.31,974.099515082501
2008.59153005464,8,4.88,475.72301899378
2008.67076502732,9,2.39,195.952576871247
