"waterYear","Q"
1900,176.8
1901,312.7
1902,244.1
1903,321.2
1904,138.4
1905,172.1
1906,206.5
1907,282.8
1908,272.6
1909,233.9
1910,168.2
1911,140.5
1912,249.6
1913,202.5
1914,189.8
1915,219.8
1916,186.4
1917,174.7
1918,187.5
1919,248.7
1920,192.3
1921,179.9
1922,211.4
1923,156.7
1924,226.9
1925,159
1926,136.6
1927,195.2
1928,258.2
1929,215
1930,139.6
1931,101.7
1932,130.2
1933,252.4
1934,128.8
1935,282.2
1936,270.8
1937,254.2
1938,227
1939,175.1
1940,209.1
1941,129.5
1942,145.5
1943,235.1
1944,153.4
1945,155.9
1946,186.2
1947,130.8
1948,228.4
1949,344.2
1950,197.9
1951,219.4
1952,235.7
1953,195
1954,114.9
1955,217.4
1956,87.9
1957,177.1
1958,231.7
1959,123.2
1960,238
1961,165.5
1962,257.8
1963,145.9
1964,128.5
1965,150.9
1966,95
1967,168.2
1968,144.9
1969,161.7
1970,135
1971,211.3
1972,298.8
1973,351.5
1974,231
1975,257
1976,177.6
1977,155.7
1978,264.5
1979,274.3
1980,266.5
1981,84.4
1982,190.2
1983,213.5
1984,292.2
1985,150.1
1986,180.4
1987,249.7
1988,122.4
1989,214.7
1990,242.7
1991,236.8
1992,176.1
1993,262.5
1994,253.5
1995,174.9
1996,279.1
1997,225.8
1998,308.1
1999,103.7
2000,155.7
2001,107.9
2002,60.2
2003,343.9
2004,252.7
2005,201.7
2006,147.7
2007,206.7
2008,101
2009,127.9
2010,238.1
2011,170.8
2012,177.7
2013,201.7
2014,222.4
2015,159.7
